,link,yt_id,title,transcript,views,time_uploaded,tokens,author,data_import_date
27,https://www.youtube.com/watch?v=K5KXDR9vsbs,x,Elon Musk's Savage Response To Andrew Tate's Arrest,x, 52 882 ,72.2,x,https://www.youtube.com/@ElonMuskZone,"time.struct_time(tm_year=2023, tm_mon=1, tm_mday=17, tm_hour=23, tm_min=24, tm_sec=12, tm_wday=1, tm_yday=17, tm_isdst=0)"
28,https://www.youtube.com/shorts/bApqgWbNNDY,x,Jack Ma tries to troll Elon Musk (Instantly regrets it! 😂),x, 95 049 ,96.0,x,https://www.youtube.com/@elonmuskempire,"time.struct_time(tm_year=2023, tm_mon=1, tm_mday=17, tm_hour=23, tm_min=24, tm_sec=12, tm_wday=1, tm_yday=17, tm_isdst=0)"
29,https://www.youtube.com/watch?v=FfGw2v2WcjE,x,"Elon Musk's ALL NEW $15,000 Sustainable House Just Hit The Market",x, 34 624 ,120.2,x,https://www.youtube.com/@clipaholic,"time.struct_time(tm_year=2023, tm_mon=1, tm_mday=17, tm_hour=23, tm_min=24, tm_sec=12, tm_wday=1, tm_yday=17, tm_isdst=0)"
30,https://www.youtube.com/watch?v=v01W8kEaXKM,x,Elon Musk Releases the COVID Twitter Files & It's Worse Than You Thought | DM CLIPS | Rubin Report,x, 101 197 ,192.05,x,https://www.youtube.com/@ElonMuskZone,"time.struct_time(tm_year=2023, tm_mon=1, tm_mday=17, tm_hour=23, tm_min=24, tm_sec=12, tm_wday=1, tm_yday=17, tm_isdst=0)"
31,https://www.youtube.com/watch?v=gYDy0HLrgTk,x,"Elon Musk: ""I OFFICIALLY Bought Google""",x, 619 682 ,216.16666666666666,x,https://www.youtube.com/@RubinReport,"time.struct_time(tm_year=2023, tm_mon=1, tm_mday=17, tm_hour=23, tm_min=24, tm_sec=12, tm_wday=1, tm_yday=17, tm_isdst=0)"
32,https://www.youtube.com/watch?v=Um_W1_yRWco,x,Elon Musk's Crazy Announcement about Twitter's New Rules,x, 5090 ,48.083333333333336,x,https://www.youtube.com/@ElonMuskZone,"time.struct_time(tm_year=2023, tm_mon=1, tm_mday=17, tm_hour=23, tm_min=24, tm_sec=12, tm_wday=1, tm_yday=17, tm_isdst=0)"
33,https://www.youtube.com/watch?v=0rCIN_NKkjc,x,¡Elon Musk ACABA DE FILTRAR El Impactante Descubrimiento Soviético En Venus!,x, 64 671 ,192.33333333333334,x,https://www.youtube.com/@DBBusinessChannel,"time.struct_time(tm_year=2023, tm_mon=1, tm_mday=17, tm_hour=23, tm_min=24, tm_sec=12, tm_wday=1, tm_yday=17, tm_isdst=0)"
34,https://www.youtube.com/watch?v=BsyPuOzOgiQ,x,Elon Musk Released Terrifying Details About The Pyramids Of Egypt,x, 42 145 ,0.16666666666666666,x,https://www.youtube.com/@ElonMuskZone,"time.struct_time(tm_year=2023, tm_mon=1, tm_mday=17, tm_hour=23, tm_min=24, tm_sec=12, tm_wday=1, tm_yday=17, tm_isdst=0)"
35,https://www.youtube.com/watch?v=13Q_7eEVZAs,x,Elon's Twitter Circus (With Updates),x, 657 609 ,120.33333333333333,x,https://www.youtube.com/@futureunityes5679,"time.struct_time(tm_year=2023, tm_mon=1, tm_mday=17, tm_hour=23, tm_min=24, tm_sec=12, tm_wday=1, tm_yday=17, tm_isdst=0)"
72,https://www.youtube.com/watch?v=0KR8m2DqhPI,x,Discurso de Elon Musk te dejará SIN PALABRAS  | Uno de los discursos más reveladores de la historia,x, 1 609 172 ,0.13333333333333333,x,https://www.youtube.com/@ElonMuskZone,"time.struct_time(tm_year=2023, tm_mon=1, tm_mday=17, tm_hour=23, tm_min=24, tm_sec=12, tm_wday=1, tm_yday=17, tm_isdst=0)"
73,https://www.youtube.com/watch?v=ShFPdHy9qSI,x,"Elon Musk Slips Up In Stunning Misstep, FINALLY Admits Reality",x, 43 950 ,48.083333333333336,x,https://www.youtube.com/@ColdFusion,"time.struct_time(tm_year=2023, tm_mon=1, tm_mday=17, tm_hour=23, tm_min=24, tm_sec=12, tm_wday=1, tm_yday=17, tm_isdst=0)"
